Membership No  Date Joined  Active  
    13664      2018-8-1     no    
    34965      2015-5-5     no    
    93833      2018-10-13   no    
    37910      2016-1-5     no    
    30960      2018-3-6     no    
    76352      2018-10-12   no    
    14693      2019-10-18   no    
    40864      2017-4-6     no    
    78009      2019-2-17    no    
    95036      2019-7-4     no    
    19347      2019-9-12    no    
    15076      2020-9-11    no    
    33021      2020-1-16    no    
