Membership No  Date Joined  Active  
    89940      2020-3-9     no    
    78927      2016-11-2    no    
    30595      2019-8-15    no    
    25361      2016-10-8    no    
    45040      2016-9-4     no    
    16879      2020-3-3     no    
    40595      2017-4-5     no    
    17231      2020-3-25    no    
    70481      2017-3-17    no    
    19943      2018-4-5     no    
    57533      2019-12-15   no    
    30750      2018-6-17    no    
    60427      2015-1-23    no    
    25486      2016-10-9    no    
    13920      2017-5-10    no    
